,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
0,23037,06,08,16,20,24,07,08
1,23036,01,13,22,26,31,02,10
2,23035,07,14,23,25,29,02,11
3,23034,07,09,10,15,24,04,12
4,23033,04,06,10,11,25,07,09
5,23032,05,06,18,28,30,02,07
6,23031,05,07,08,16,25,03,11
7,23030,06,11,12,20,35,05,12
8,23029,07,25,27,34,35,09,11
9,23028,01,03,29,30,34,04,12
10,23027,09,10,12,15,23,03,06
11,23026,02,13,24,27,30,01,06
12,23025,03,09,27,30,31,11,12
13,23024,11,15,24,27,30,01,10
14,23023,09,21,23,25,33,03,10
15,23022,07,11,15,26,28,08,10
16,23021,02,09,18,23,27,03,05
17,23020,05,06,23,25,28,06,09
18,23019,05,08,09,11,15,06,08
19,23018,04,08,17,26,30,03,11
20,23017,02,05,09,22,27,10,11
21,23016,02,04,12,31,32,07,11
22,23015,08,16,24,25,34,08,12
23,23014,03,08,18,22,24,01,09
24,23013,01,02,09,23,25,02,06
25,23012,07,16,17,18,28,02,03
26,23011,02,07,08,17,25,01,03
27,23010,05,06,13,23,26,01,06
28,23009,01,05,11,15,33,01,10
29,23008,04,09,17,22,25,01,05
30,23007,02,03,24,30,32,01,06
31,23006,02,04,12,27,35,06,07
32,23005,01,03,10,20,29,06,11
33,23004,04,13,15,20,22,04,08
34,23003,05,06,14,21,22,02,09
35,23002,11,14,21,26,27,02,07
36,23001,18,19,24,27,34,11,12
37,22150,06,07,26,29,30,03,12
38,22149,15,19,22,26,28,02,07
39,22148,04,05,06,26,27,07,12
40,22147,04,12,22,28,30,09,11
41,22146,01,21,23,28,35,07,09
42,22145,10,20,29,30,35,06,09
43,22144,03,04,08,15,21,04,07
44,22143,10,13,14,27,33,07,08
45,22142,07,12,14,29,35,01,11
46,22141,05,06,14,24,25,02,04
47,22140,05,15,25,26,29,04,12
48,22139,01,13,14,22,35,02,05
49,22138,05,13,16,27,33,07,12
50,22137,05,06,08,15,20,07,08
51,22136,01,11,15,17,33,03,11
52,22135,09,10,27,31,32,01,03
53,22134,03,16,23,27,32,03,06
54,22133,01,02,14,30,31,06,09
55,22132,02,27,30,34,35,09,12
56,22131,02,06,08,10,17,05,06
57,22130,05,07,15,18,23,05,10
58,22129,10,17,23,34,35,01,04
59,22128,10,19,21,23,35,04,10
60,22127,02,03,08,09,20,04,10
61,22126,04,05,08,22,35,01,03
62,22125,03,07,14,16,19,01,11
63,22124,02,04,11,25,30,06,12
64,22123,02,20,28,29,30,07,10
65,22122,04,15,17,19,25,06,12
66,22121,04,15,16,20,21,04,05
67,22120,11,22,26,30,33,03,05
68,22119,01,09,16,25,29,04,09
69,22118,02,05,15,17,26,02,08
70,22117,09,12,15,21,32,02,07
71,22116,01,07,20,22,31,07,12
72,22115,17,19,20,23,27,03,08
73,22114,11,21,24,27,28,05,10
74,22113,13,15,22,31,33,05,12
75,22112,04,11,18,20,26,06,12
76,22111,06,12,16,19,31,06,10
77,22110,02,13,16,18,23,03,06
78,22109,05,09,24,29,35,05,12
79,22108,04,07,13,26,28,07,11
80,22107,07,09,19,28,29,08,10
81,22106,16,17,21,28,32,04,07
82,22105,01,08,09,21,22,01,04
83,22104,03,05,13,19,25,02,05
84,22103,08,12,16,21,32,01,12
85,22102,01,05,14,20,30,02,04
86,22101,02,04,06,07,08,03,06
87,22100,10,19,20,23,31,03,07
88,22099,07,18,25,27,33,04,05
89,22098,01,03,06,11,13,03,11
90,22097,05,13,22,28,29,05,11
91,22096,16,19,24,27,33,01,06
92,22095,05,08,22,25,35,02,07
93,22094,03,04,07,12,19,02,05
94,22093,07,11,14,21,29,07,10
95,22092,01,04,12,23,29,05,12
96,22091,02,11,20,22,34,04,12
97,22090,01,20,24,25,31,09,12
98,22089,01,20,21,31,33,03,11
99,22088,01,08,10,20,35,06,11
100,22087,04,06,10,24,28,06,12
101,22086,04,10,21,28,31,08,11
102,22085,11,16,31,33,35,06,08
103,22084,03,11,19,25,27,04,12
104,22083,02,09,17,26,32,04,06
105,22082,04,26,27,30,33,02,09
106,22081,05,10,19,31,32,09,10
107,22080,10,17,30,31,34,03,06
108,22079,07,10,19,26,32,08,12
109,22078,02,03,18,20,27,01,02
110,22077,05,10,11,16,19,01,10
111,22076,05,17,30,34,35,02,09
112,22075,04,12,13,17,18,07,09
113,22074,02,06,21,25,28,02,06
114,22073,11,18,21,25,32,02,04
115,22072,01,12,13,15,30,03,07
116,22071,09,15,19,25,29,08,09
117,22070,01,07,17,23,35,07,11
118,22069,02,03,23,28,35,02,09
119,22068,03,06,10,15,23,03,08
120,22067,04,14,15,32,33,10,11
121,22066,02,24,25,26,34,03,12
122,22065,05,10,13,22,28,01,04
123,22064,02,19,22,25,35,05,07
124,22063,02,03,22,26,31,06,10
125,22062,05,09,11,12,31,07,11
126,22061,06,09,19,22,30,01,06
127,22060,02,06,10,11,20,03,09
128,22059,04,15,18,32,34,04,09
129,22058,03,04,24,26,35,07,08
130,22057,06,12,18,21,35,07,10
131,22056,02,11,15,17,31,07,09
132,22055,01,02,12,15,23,04,06
133,22054,05,16,21,23,34,07,10
134,22053,09,17,19,20,25,01,09
135,22052,01,13,18,29,35,04,09
136,22051,01,16,17,19,33,05,06
137,22050,02,10,21,24,30,08,10
138,22049,06,10,20,28,35,01,10
139,22048,16,22,28,29,32,08,09
140,22047,07,10,11,12,33,03,11
141,22046,06,07,12,22,27,03,05
142,22045,02,03,07,12,20,01,05
143,22044,01,02,16,17,20,03,07
144,22043,02,16,17,24,30,09,12
145,22042,08,10,11,29,32,02,06
146,22041,05,15,25,26,33,06,11
147,22040,10,19,25,29,33,08,12
148,22039,01,08,11,22,31,05,11
149,22038,07,09,11,12,26,09,12
150,22037,01,09,17,20,28,06,10
151,22036,18,19,21,26,34,06,07
152,22035,09,11,13,23,31,05,08
153,22034,02,10,24,27,28,06,07
154,22033,08,15,16,19,33,03,04
155,22032,05,09,18,31,32,01,05
156,22031,07,14,16,20,28,04,08
157,22030,12,14,15,21,30,01,09
158,22029,07,08,10,14,17,10,12
159,22028,04,09,16,17,35,01,07
160,22027,03,06,11,31,32,05,12
161,22026,11,14,22,23,27,08,10
162,22025,04,07,22,24,29,01,07
163,22024,01,02,11,30,35,01,12
164,22023,04,05,18,20,25,11,12
165,22022,01,05,14,17,28,06,07
166,22021,11,15,16,18,35,06,09
167,22020,16,17,30,31,35,08,09
168,22019,01,04,07,17,21,01,02
169,22018,16,21,29,31,34,06,09
170,22017,10,14,18,23,25,07,11
171,22016,01,07,17,26,32,01,09
172,22015,01,02,08,12,30,05,12
173,22014,01,04,10,18,32,01,09
174,22013,04,09,16,25,32,05,06
175,22012,03,05,10,33,34,07,10
176,22011,03,05,17,24,32,05,12
177,22010,04,19,25,31,35,02,11
178,22009,13,14,18,31,33,07,10
179,22008,01,02,13,18,34,06,07
180,22007,05,22,23,25,35,03,11
181,22006,01,05,07,17,20,05,12
182,22005,02,13,17,19,34,05,09
183,22004,07,20,27,30,33,03,04
184,22003,02,18,24,25,34,08,12
185,22002,04,06,07,09,24,04,12
186,22001,08,11,19,22,29,03,11
187,21150,04,10,11,23,26,07,10
188,21149,20,26,28,30,35,10,11
189,21148,01,04,12,16,29,04,08
190,21147,01,02,08,12,26,01,07
191,21146,03,05,08,18,20,09,11
192,21145,03,08,25,29,30,01,06
193,21144,03,20,25,30,34,02,09
194,21143,09,17,19,29,34,04,11
195,21142,11,13,17,19,25,02,09
196,21141,02,08,16,29,34,05,12
197,21140,05,24,26,33,35,09,12
198,21139,05,13,18,23,34,08,09
199,21138,09,11,12,15,31,05,11
200,21137,02,07,13,14,19,04,05
201,21136,08,12,19,27,33,02,05
202,21135,04,07,17,29,31,05,06
203,21134,02,06,14,19,28,01,06
204,21133,08,09,17,26,28,06,08
205,21132,04,21,28,29,33,03,11
206,21131,06,08,16,34,35,05,06
207,21130,02,03,14,27,28,05,10
208,21129,02,16,17,18,34,04,10
